date,region,covid_in_pop,covid_in_pop_lolim,covid_in_pop_uplim,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2021-04-18,England,790.2800586699187,506.21184728196187,1232.8528198296983,1.411789745224239,0.9043182692810307,2.2024204575473565
2021-04-19,England,780.5401655270499,499.9749992259528,1217.6464368054003,1.3943899878751478,0.8931764999406593,2.175255131306191
2021-04-20,England,668.0756309745849,411.4355476902278,1083.9686224188613,1.193478583315838,0.7350058763059255,1.9364474258042472
2021-04-21,England,631.1427947210443,382.674489753414,1040.111335616286,1.1275002014589666,0.6836259051026367,1.8580989124108507
2021-04-22,England,715.7290100348494,447.1263099426288,1144.7322950864132,1.278608596587076,0.7987653645966732,2.0449982224656145
2021-04-23,England,737.4861055289161,460.7331525434469,1179.4330019452316,1.31747639284159,0.8230732041251649,2.106989033897406
2021-04-24,England,756.9051112715323,472.87973192396163,1210.3917450164192,1.352167326605018,0.8447723676316117,2.1622950428412437
2021-04-25,England,694.9318477784216,421.3966378711304,1144.8979645420268,1.2414556656972267,0.7528007894058725,2.0452941813930434
2021-04-26,England,667.2745743041583,397.7191250140399,1118.393602102999,1.1920475417752538,0.7105022782928426,1.9979456665411017
2021-04-27,England,649.8594056384397,379.99704119576415,1110.249825074013,1.1609363473779255,0.6788427976768749,1.9833972785730873
2021-04-28,England,677.2234071498295,395.9960633360646,1157.0145220011946,1.2098205578527548,0.7074241279831303,2.066939712468525
2021-04-29,England,676.369602232154,395.48977927715083,1155.6158813086047,1.2082952846107282,0.7065196807119338,2.0644411215381466
2021-04-30,England,698.3968917073141,416.24243263728374,1170.7676282170182,1.247645766828964,0.7435930990256131,2.0915088435094358
2021-05-01,England,756.4657737705015,458.6805510509823,1246.4917650833318,1.351382475498321,0.8194063499431541,2.2267856466135747
2021-05-02,England,778.3251796472006,471.9347129073987,1282.5129380541655,1.3904330433506322,0.8430841456627176,2.291135394596286
2021-05-03,England,861.686325108731,530.7069805802433,1397.8571285004987,1.5393529218438466,0.9480774121557956,2.4971911383251557
2021-05-04,England,899.9961111382316,562.2393392065076,1439.4564488204285,1.6077911450595663,1.004408152205364,2.5715059248260577
2021-05-05,England,1043.0393015001578,675.6284386493834,1608.9659802594197,1.8633295545912616,1.2069712386168938,2.8743249262394395
2021-05-06,England,1119.9547509087085,732.9862160594148,1709.8745479503239,2.000734568842875,1.3094375998365169,3.0545922624936965
2021-05-07,England,1190.5150870330551,786.7030762175322,1800.2234683013298,2.126786539744921,1.4053996723763607,3.2159953978053877
2021-05-08,England,1266.5997087943933,844.5427289618007,1898.1709110781726,2.26270732832297,1.5087268760883241,3.390972855184255
2021-05-09,England,1312.4735785005778,882.5513909111835,1950.4003995274093,2.3446583507667675,1.576627158502316,3.484277823950699
2021-05-10,England,1341.777462056841,916.2581248273688,1963.5618591774085,2.3970080486316063,1.6368422945997185,3.5077900125251196
2021-05-11,England,1284.7516681541724,877.296211732875,1880.2055099838756,2.2951347568006595,1.5672390839939716,3.3588787022880564
2021-05-12,England,1189.1380552414284,805.9359119174419,1753.4160051660917,2.1243265518698147,1.4397580240958947,3.1323765645458077
2021-05-13,England,1107.5540656879768,738.4357254776244,1660.1157522079563,1.9785814599084952,1.3191728341104019,2.9657010437502875
2021-05-14,England,1358.5934824978638,940.5671973252927,1961.1476151383217,2.4270488992815316,1.6802690505857452,3.5034771047913873
2021-05-15,England,1368.9886042010503,947.7614107855189,1976.163667267305,2.445619184663168,1.6931210980044742,3.5303024158654535
2021-05-16,England,1314.5149736603264,903.9687338753615,1910.3088252619132,2.348305185481709,1.6148880064574915,3.4126565388164316
2021-05-17,England,1364.2164136121983,950.4451049209628,1956.9338657266803,2.4370939414134063,1.6979153627947496,3.495949484496486
2021-05-18,England,1305.4233475036472,903.7239479275106,1884.5395642066837,2.332063519714493,1.614450710479743,3.366621240189499
2021-05-19,England,1152.180181378932,780.8559439141179,1699.0713745825808,2.0583034417685933,1.394954107751051,3.0352930163478056
2021-05-20,England,1105.7463597045803,743.4564460932107,1643.606935248241,1.975352097429028,1.3281420619188964,2.9362089944016847
2021-05-21,England,1098.6259664605188,738.6678854094836,1633.028460636101,1.9626319255688789,1.3195875744387893,2.917311159623125
2021-05-22,England,1099.7007277191587,739.3954641801124,1634.6017915839257,1.9645519245703287,1.3208873519492397,2.920121824619179
