date,covid_in_pop,covid_in_pop_lo,covid_in_pop_up
2020-11-22,24338.0,22828.229372957972,25940.02454555069
2020-11-23,22435.0,20979.880182925313,23983.199278879543
2020-11-24,20285.0,18892.10384810944,21772.9281548706
2020-11-25,19288.0,17921.82971175876,20750.280582668493
2020-11-26,18516.0,17178.019767750662,19952.29882970454
2020-11-27,17420.0,16118.401012742674,18819.852845866822
2020-11-28,16297.0,15039.02107003034,17654.318081543654
2020-11-29,15845.0,14599.978175817834,17190.757255302982
2020-11-30,15701.0,14463.38068044506,17037.647330059146
2020-12-01,14967.0,13765.244441393637,16267.185998571576
2020-12-02,14360.0,13184.608008066562,15633.82982954019
2020-12-03,14168.0,12999.541457988043,15435.985194551298
2020-12-04,14000.0,12845.706610565656,15253.281489565792
2020-12-05,14206.0,13042.800893916936,15466.812957992854
2020-12-06,14333.0,13162.516155705367,15602.805984011407
2020-12-07,14638.0,13459.146556602667,15913.820291635819
2020-12-08,14802.0,13614.779137241352,16086.37211807962
2020-12-09,15533.0,14316.453288329029,16846.670330634668
2020-12-10,15897.0,14670.432597238721,17219.87897990412
2020-12-11,17259.0,15984.195709752083,18629.495137057635
2020-12-12,18453.0,17134.443607400415,19865.35428183722
2020-12-13,19878.0,18504.268687664047,21346.337476340654
2020-12-14,20822.0,19425.240606279032,22312.389003859957
2020-12-15,23020.0,21551.726614858806,24579.93964182015
2020-12-16,25430.0,23899.04080031362,27050.475378596882
2020-12-17,28145.0,26555.711362765585,29820.624510138703
2020-12-18,29904.0,28285.339453857327,31605.853648117176
2020-12-19,32220.0,30557.43847679275,33963.900871092264
2020-12-20,33896.0,32209.174407557828,35662.30695930768
2020-12-21,36312.0,34589.754596432744,38110.7263948117
2020-12-22,38866.0,37104.64832594481,40701.28521045524
2020-12-23,40141.0,38366.47864036195,41987.923772309856
2020-12-24,41776.0,39996.14649292148,43625.804696157
2020-12-25,42620.0,40824.220831338906,44485.027967446746
2020-12-26,45205.0,43355.77949923753,47122.74718377994
2020-12-27,47767.0,45870.90632950249,49730.93567169862
2020-12-28,49769.0,47817.085685942366,51788.43774872778
2020-12-29,52805.0,50817.603193523784,54858.30560838808
2020-12-30,54929.0,52910.21793816616,57013.39280238475
2020-12-31,55681.0,53646.29108685861,57780.97941732988
2021-01-01,56352.0,54290.93591523774,58479.41120603701
2021-01-02,57057.0,54989.67202976806,59188.46574738021
2021-01-03,57157.0,55082.04803110661,59297.41042635969
2021-01-04,56111.0,54075.80026409671,58210.3086352525
2021-01-05,54738.0,52744.35031997788,56794.47663285119
2021-01-06,52726.0,50782.57463363937,54732.34173943858
2021-01-07,50366.0,48488.93822582212,52304.75221956268
2021-01-08,49118.0,47290.08943888019,51005.88457148528
2021-01-09,46777.0,45001.51847215409,48613.385115287616
2021-01-10,43316.0,41632.322443434685,45060.05192988138
2021-01-11,40457.0,38840.22456958657,42133.444733411605
2021-01-12,37470.0,35910.21424389116,39090.98670728209
2021-01-13,34994.0,33484.0060740863,36565.18497747587
2021-01-14,33723.0,32240.579693957923,35265.95290649793
2021-01-15,32038.0,30609.007161556525,33527.83833595142
2021-01-16,30513.0,29111.09080310754,31975.883745558192
2021-01-17,28372.0,27016.393840785095,29789.28435506205
2021-01-18,27484.0,26148.368841769632,28882.68238758368
2021-01-19,26707.0,25386.852882051604,28090.034642201514
