date,active_cases
2021-07-17,377519.1311898324
2021-07-18,381042.73455037683
2021-07-19,387711.3731504581
2021-07-20,396636.9183094463
2021-07-21,597151.9099484949
2021-07-22,620191.4627036304
2021-07-23,643933.6367056897
2021-07-24,661202.9228856555
2021-07-25,678705.7377606793
2021-07-26,694965.2289449674
2021-07-27,706871.9286819196
2021-07-28,713085.4253317909
2021-07-29,717856.3690162746
2021-07-30,721479.3698862478
2021-07-31,721905.7742434734
2021-08-01,711499.1340257019
2021-08-02,700193.679214901
2021-08-03,687305.5731129871
2021-08-04,676556.428191788
2021-08-05,661913.9430801607
2021-08-06,648826.8882975768
2021-08-07,632070.3901133235
2021-08-08,619408.5322518707
2021-08-09,609775.7751343037
2021-08-10,606066.4467099726
2021-08-11,600782.1322083685
2021-08-12,593303.3204390905
2021-08-13,586184.0062847793
2021-08-14,579389.43447855
2021-08-15,569392.4429669584
2021-08-16,562766.8837557992
2021-08-17,559478.4494238162
2021-08-18,556345.8777478813
2021-08-19,554691.344689808
2021-08-20,555603.7050244649
2021-08-21,562443.064940311
2021-08-22,563592.2906050117
2021-08-23,567426.6048970872
2021-08-24,574740.1726214315
2021-08-25,578049.9439300917
2021-08-26,582159.161996722
2021-08-27,589136.9883097908
2021-08-28,595023.2195282253
2021-08-29,600804.4064797073
2021-08-30,604899.238864687
2021-08-31,608639.1392004518
2021-09-01,614520.0565409829
2021-09-02,619008.7361769597
2021-09-03,617083.0935230779
2021-09-04,610355.8969141678
2021-09-05,609529.8537175748
2021-09-06,607259.8641964495
2021-09-07,605847.089180809
2021-09-08,601907.7137894147
2021-09-09,594815.5316831742
2021-09-10,588673.4074592898
2021-09-11,581163.3310768793
2021-09-12,572964.3938160329
2021-09-13,567501.4522270395
2021-09-14,563085.3620665768
2021-09-15,558512.7973
2021-09-16,554269.5135100549
2021-09-17,549130.5004966352
2021-09-18,547677.7717719155
2021-09-19,537839.304783588
2021-09-20,531815.9368438867
2021-09-21,528279.3878068569
2021-09-22,524680.8223305239
2021-09-23,523393.4583772224
2021-09-24,524956.7644295276
2021-09-25,530422.4569686581
2021-09-26,534006.3307808251
2021-09-27,543842.3894113298
2021-09-28,555486.8597443509
2021-09-29,569255.161330374
2021-09-30,586797.9297559685
2021-10-01,603453.5687747432
2021-10-02,619441.7861290204
2021-10-03,634951.2905599591
2021-10-04,653499.7679140936
2021-10-05,671725.6900707723
2021-10-06,686807.3116375532
2021-10-07,781892.9788111562
2021-10-08,778870.0726793834
2021-10-09,786627.8986241412
2021-10-10,797181.0233461884
2021-10-11,803575.7831901399
2021-10-12,810764.5150157893
2021-10-13,817238.1525505857
2021-10-14,820108.0371992162
2021-10-15,827917.4161807336
2021-10-16,836393.5380453158
2021-10-17,846399.3074892946
2021-10-18,860054.2323699688
2021-10-19,875353.8741652607
2021-10-20,892893.0452042716
2021-10-21,907965.8504055417
2021-10-22,925903.5835097687
2021-10-23,944877.5828061244
2021-10-24,962949.8285780284
2021-10-25,984670.9505309802
2021-10-26,1003838.9386531544
2021-10-27,1020810.9376812943
2021-10-28,1035351.2822846817
2021-10-29,1045296.8932709331
2021-10-30,1060321.675802285
2021-10-31,1065144.5370187887
2021-11-01,1065819.105197738
2021-11-02,1064314.657183769
2021-11-03,1063485.2369149483
2021-11-04,1057302.6300088263
2021-11-05,1047994.6309050103
2021-11-06,1035791.7673883291
2021-11-07,1020090.2347012762
2021-11-08,1004392.2533714841
2021-11-09,985990.542533047
2021-11-10,964694.1568668297
2021-11-11,941495.4777240877
2021-11-12,915301.9404593032
2021-11-13,896653.1195858513
2021-11-14,880111.0158491608
2021-11-15,860744.9283557779
2021-11-16,846358.9660482651
2021-11-17,833394.8915473187
2021-11-18,824878.4121725757
2021-11-19,820586.6388442896
2021-11-20,818650.261294157
2021-11-21,819654.823476937
2021-11-22,826706.0324396673
2021-11-23,833689.9721877346
2021-11-24,841944.5350511638
2021-11-25,857179.3753188406
2021-11-26,867463.8522887375
2021-11-27,878156.4943583655
2021-11-28,885403.4270484162
2021-11-29,896029.2937672735
2021-11-30,901044.1125410727
2021-12-01,906503.2158228263
2021-12-02,909913.7756101575
2021-12-03,911388.5346530764
2021-12-04,914401.1883223619
2021-12-05,921142.3036149981
2021-12-06,926147.2470236063
2021-12-07,932745.9987046721
2021-12-08,941399.8343542467
2021-12-09,943082.8089928492
2021-12-10,945612.6683672802
2021-12-11,952391.2246685172
2021-12-12,958429.9132121113
2021-12-13,965130.2535421082
2021-12-14,974644.6892467261
2021-12-15,986240.6005248035
2021-12-16,999472.877033039
2021-12-17,1047566.1261768911
2021-12-18,1083268.1372716115
2021-12-19,1129321.5535254707
2021-12-20,1180776.8864311236
2021-12-21,1236642.8175482312
2021-12-22,1291247.6728805825
2021-12-23,1359388.2237869508
2021-12-24,1434972.363487609
2021-12-25,1516341.5780170222
2021-12-26,1600786.2638209867
2021-12-27,1685280.6730079595
2021-12-28,1771883.0339472936
2021-12-29,1851277.909984502
2021-12-30,1925398.821369887
2021-12-31,1997518.382715445
2022-01-01,2065650.780695195
2022-01-02,2128462.5275027375
2022-01-03,2186963.2737162733
2022-01-04,2237334.4583442165
2022-01-05,2281508.848999028
2022-01-06,2318271.2106244494
2022-01-07,2346188.090716607
2022-01-08,2366754.057394924
2022-01-09,2382454.4402954835
2022-01-10,2389007.8200338054
2022-01-11,2390428.7699043737
2022-01-12,2381949.235481516
2022-01-13,2366251.3184043895
2022-01-14,2341258.9611186427
2022-01-15,2308410.9540709965
2022-01-16,2270023.9690065924
2022-01-17,2230095.422225023
2022-01-18,2192136.2467376664
2022-01-19,2144801.084791582
2022-01-20,2097025.7568038958
2022-01-21,2052812.706332502
2022-01-22,2012293.2123007432
2022-01-23,1979048.3327351897
2022-01-24,1950597.2722892468
2022-01-25,1929644.1359170584
2022-01-26,1916855.6314004567
2022-01-27,1912090.3706137266
2022-01-28,1916030.3553098692
2022-01-29,1927321.2863063482
2022-01-30,1946171.4041377222
2022-01-30,1970918.7960833295
2022-01-31,2000952.0218894193
2022-02-01,2033503.7237188234
2022-02-02,2069444.0896787646
2022-02-03,2107868.661243266
2022-02-04,2146405.2104929737
2022-02-05,2185102.1820340594
2022-02-06,2221285.71049134
2022-02-07,2252562.7033953615
2022-02-08,2280466.7967787012
2022-02-09,2301283.027288205
2022-02-10,2315097.8991550305
2022-02-11,2324176.5812777216
2022-02-12,2326883.1053392957
2022-02-13,2323339.0931162564
2022-02-14,2315584.358259823
2022-02-15,2300022.379085277
2022-02-16,2277288.949455149
2022-02-17,2250753.290606128
2022-02-18,2220960.9398535243
2022-02-19,2188371.140476534
2022-02-20,2152813.2040929897
2022-02-21,2116970.6453172783
2022-02-22,2079623.3551663968
2022-02-23,2039532.3418679363
2022-02-24,1997627.8312832876
2022-02-25,1958249.3610973775
2022-02-26,1921359.2056457119
2022-02-27,1887350.9289166185
