date,region,covid_in_pop,covid_in_pop_lolim,covid_in_pop_uplim,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim
2020-07-06,Yorkshire and The Humber,239.5511082143851,109.8887558347057,520.4225252952533,4.3716777221462655,2.005410158098803,9.497428656853689
2020-07-06,West Midlands,195.60916830531173,76.12388464729491,500.6012128167976,3.314984302951498,1.290069810488636,8.48367781992713
2020-07-06,North East,0.0,0.0,165.35888103036143,0.0,0.0,6.221389860614545
2020-07-06,Scotland,89.5077791725424,0.0,491.6523111516427,1.6459384559412735,0.0,9.040883969615173
2020-07-07,East of England,132.304722021811,56.538369180882654,308.9756083458815,2.1335293705685854,0.9117306575919273,4.98250194793925
2020-07-07,England,1571.0325491037001,1195.4140613517682,2064.1428566572113,2.806559039299373,2.1355382748157976,3.6874721634899337
2020-07-07,South East,208.2612973043211,113.18069829142509,382.7854046355747,2.280160366823918,1.2391651539386068,4.190947237658374
2020-07-07,London,227.34562835215752,110.18056967965084,468.3786518030415,2.552127987522313,1.2368608870939863,5.257907419151684
2020-07-07,South West,168.84410024916488,81.84245517435414,347.6005388520531,3.015215903059071,1.4615415760630484,6.207446224724083
2020-07-07,Wales,170.39949874198615,54.42297886654285,430.43830747356066,5.429102648319798,1.7339718771191275,13.714205571587124
2020-07-07,Scotland,79.26977693203004,15.410571701178574,328.84939682159455,1.4576741312596317,0.28338154320771175,6.047137728647773
2020-07-07,North West,286.74927637750704,139.0149322612648,589.9499102007926,3.9323315867955473,1.9063790363242048,8.090268599163403
2020-07-07,East Midlands,102.38543525655385,34.83513933480759,299.94807332573447,2.1311877557618186,0.7251053065757868,6.243521450432417
2020-07-07,Yorkshire and The Humber,238.79129084847662,109.53750730087307,518.8323770050032,4.357811467566182,1.9990000629765607,9.468409313519347
2020-07-07,West Midlands,244.90753113666057,104.70365679993103,570.5641063071484,4.150442581124092,1.7744105849458134,9.669337447841835
2020-07-07,North East,42.29295109789823,7.467623983038985,237.66703716862415,1.5912114033211158,0.2809586025345106,8.941880145957748
2020-07-07,Northern Ireland,0.0,4.330476680278398e-14,632.2152342874313,0.0,2.301438628917873e-15,33.599177859697384
2020-07-08,England,1683.2478894818844,1293.7761386530929,2189.420378603211,3.0070252728386633,2.3112564528585073,3.9112732310357106
2020-07-08,South East,228.44553033123043,127.62765545610588,408.4592329558888,2.501148561838596,1.3973384659005146,4.472038571277984
2020-07-08,London,225.18611642978772,109.13169243855526,463.9710634144053,2.5278858199626577,1.2250864404865118,5.208428879512942
2020-07-08,East of England,158.59377870813245,72.72289463746422,345.18375609493916,2.557463404877375,1.172720287309295,5.566390001940574
2020-07-08,South West,188.3996220893087,95.53273388351555,370.8016008217643,3.3644381759013364,1.7060224079088662,6.621770509171671
2020-07-08,Wales,175.26280454400847,54.34929926153518,455.9685289564232,5.5840525548880535,1.7316243693997535,14.527624590352392
2020-07-08,North West,324.1103088750816,164.37722725018278,637.4661467220071,4.444681504680228,2.2541844604859373,8.741881743993215
2020-07-08,Scotland,81.74447585730945,15.556034372171823,346.42033945858424,1.503180814205503,0.28605642360699185,6.370245847972347
2020-07-08,East Midlands,104.12309605121258,35.42601443076286,305.0638143391647,2.167357757871635,0.7374045732295743,6.350007344467558
2020-07-08,Yorkshire and The Humber,237.7080843430241,109.03627292615606,516.5764540911908,4.338043536690518,1.9898528076544806,9.42723994461638
2020-07-08,West Midlands,240.61004118201012,102.86241389675814,560.6699954358974,4.0776131127245225,1.7432070816805054,9.501662167004968
2020-07-08,North East,42.469055854299846,7.4986699151142755,238.70601317118383,1.5978370912736233,0.28212666103746503,8.980970122422695
2020-07-08,Northern Ireland,0.0,0.0,646.3229852442012,0.0,0.0,34.34893649866957
2020-07-09,England,1671.7685497602236,1284.9367662319248,2174.535274669,2.986518094499554,2.2954654238409886,3.884681851359138
2020-07-09,South East,226.01487165802322,126.26743835183528,404.1363781204636,2.474536360514289,1.3824460534764158,4.424709555302123
2020-07-09,London,288.2613241240637,151.74277090188482,546.821625561391,3.2359531095873932,1.7034282793553945,6.138489597943609
2020-07-09,East of England,130.08878348881066,55.58952524836736,303.8573198211525,2.097795423425327,0.8964297192189683,4.89996506847131
2020-07-09,South West,140.6208438607709,64.4809126854373,306.0769871598035,2.5112053313374814,1.1514993599775223,5.465919140098657
2020-07-09,Wales,176.2650670637328,68.5408066348049,454.05857225509186,5.615985665843891,2.183780337185381,14.466771412602878
2020-07-09,Northern Ireland,0.0,4.1998314077961165e-14,613.1420611360587,0.0,2.232006993794302e-15,32.5855310788126
2020-07-09,Scotland,94.04343332370058,24.083429839636512,367.7128305810347,1.7293435818337395,0.44286478438492327,6.76178868687657
2020-07-09,Yorkshire and The Humber,236.8020229508578,108.61733979501223,514.6820728558389,4.321508407996872,1.9822075053632824,9.392668515139091
2020-07-09,East Midlands,138.13871601832588,53.749088322656256,353.9309521172665,2.8754044892930235,1.1188056057931643,7.367193484574822
2020-07-09,West Midlands,283.04919762266974,129.84902804559908,614.7762202156549,4.796828570006691,2.200548642243683,10.418599176608272
2020-07-09,North East,0.0,9.61430786187824e-15,163.50777003745276,0.0,3.6172449327190056e-16,6.151744474225896
