date,0 - 17,18 - 34,35 - 54,55 - 74,75 - 119
20220124,1.0,0.9998209810239885,1.0,0.9999628914947306,1.0
20220125,1.0,1.0,1.0,0.9999633940991288,1.0
20220126,1.0,1.0,1.0,0.9999636799476991,1.0
20220127,1.0,1.0,1.0,0.9999638061457164,1.0
20220128,1.0,1.0,1.0,0.999964388732595,1.0
20220129,1.0,1.0,1.0,0.9999645942501062,1.0
20220130,1.0,1.0,1.0,1.0,1.0
20220131,1.0,1.0,1.0,1.0,1.0
20220201,1.0,1.0,1.0,1.0,1.0
20220202,1.0,1.0,1.0,1.0,1.0
20220203,1.0,1.0,1.0,1.0,1.0
20220204,1.0,1.0,1.0,1.0,1.0
20220205,1.0,1.0,1.0,1.0,1.0
20220206,1.0,0.9998261776464453,1.0,1.0,1.0
20220207,1.0,0.9998292349726776,1.0,1.0,1.0
