date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211227,55 - 74,392586,38039,38039,4431,39611.63422602155,14608166,149395.493856431,1436970.2317757395,0.8473742627764013,0.09366290165085278,160331.1104061676,0.026874420786291722
20211227,75 - 119,83079,4017,4017,468,4323.356290238466,4931625,24108.498150860847,237786.07303257904,0.8473742627764013,0.09366290165085278,25948.122862483324,0.016846171393810356
20211228,0 - 17,30936,5201,5200,907,8713.674461454206,14044453,412295.4592543162,4107367.6309402683,0.8847759832450501,0.09275103745143104,425597.89525629726,0.0022027201771403983
20211228,18 - 34,46796,13001,13001,2886,27048.22058552209,14704349,890488.5905337186,9138211.731533097,0.8847759832450501,0.09275103745143104,974085.8598211367,0.0031824598287214212
20211228,35 - 54,181352,40947,40945,6361,58431.63175970984,17542141,599522.1562230595,5770896.256476806,0.8847759832450501,0.09275103745143104,628984.8257945669,0.010338076749012564
20211228,55 - 74,391987,38477,38477,4854,45627.86804773642,14608166,168086.39704642733,1677781.3903895468,0.8847759832450501,0.09275103745143104,177917.89948365677,0.026833416323445394
20211228,75 - 119,83041,4087,4087,526,5070.082003888225,4931625,27669.304887674443,275143.8582584635,0.8847759832450501,0.09275103745143104,28747.92015343555,0.016838466022862646
20211229,0 - 17,30866,5001,5000,880,8998.166049528814,14044453,388560.6975080705,4061862.4576889486,0.8845022495100711,0.08714156241481014,394122.3827123254,0.002197736002961454
20211229,18 - 34,46442,12500,12500,2884,28803.987113112886,14704349,917345.8883244083,10067211.779006273,0.8845022495100711,0.08714156241481014,1009287.914318695,0.0031583853185203916
20211229,35 - 54,180337,40400,40399,6702,65651.12382732159,17542141,648275.2302269983,6629490.6065946,0.8845022495100711,0.08714156241481014,678015.8802912403,0.010280216080807925
