date,age_group,imd,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20211103,55 - 74,1,33625,2988,2988,176,1033.945848652539,3673492,31242.523586952648,113908.12064354302,1.9363373380187494,0.35370315400049973,19271.703763926354,0.009153415877862264
20211103,55 - 74,2,100729,8537,8535,532,3097.890608818189,4474672,38926.525175036186,139842.50425582746,1.9363373380187494,0.35370315400049973,24195.241135785534,0.022510923705692843
20211103,55 - 74,3,242413,19957,19955,1296,6965.400873138936,6460002,57490.140797423126,187795.06145764046,1.9363373380187494,0.35370315400049973,35091.52662375423,0.037525220580427066
20211103,75 - 119,1,6368,349,349,14,105.00533473937968,1141072,3833.868987996897,19507.83985337889,1.9363373380187494,0.35370315400049973,2430.2344909978146,0.005580717080079084
20211103,75 - 119,2,21460,1193,1193,52,378.0740552805951,1508207,5808.893845614916,26330.22627805102,1.9363373380187494,0.35370315400049973,3568.3205514797028,0.014228816071003516
20211103,75 - 119,3,55625,3012,3012,120,928.2947796430498,2282346,8109.385306858323,38573.54851425863,1.9363373380187494,0.35370315400049973,5069.883365878647,0.024371852471097723
20211104,0 - 17,1,2333,310,310,54,279.12335979863445,4829017,150249.97509830995,496320.0182960727,1.9552180071384684,0.36864608026700824,97200.95701407449,0.00048312109897314504
20211104,0 - 17,2,6608,975,975,108,629.3553959898,4042171,121094.94672597303,421839.8409669177,1.9552180071384684,0.36864608026700824,73971.07823561237,0.0016347650804481057
20211104,0 - 17,3,16751,2394,2394,296,1685.445909540725,5173265,147335.81983645103,493547.295864859,1.9552180071384684,0.36864608026700824,87249.11603284338,0.003237993800820178
20211104,18 - 34,1,5578,884,884,52,320.01450709865037,5080285,99354.60918115934,346402.54444404383,1.9552180071384684,0.36864608026700824,61850.69921510295,0.0010979698973581206
20211104,18 - 34,2,10331,1469,1469,74,450.54531363178546,4715008,61073.31838862058,218008.02826583505,1.9552180071384684,0.36864608026700824,37063.23205176444,0.0021910885411010965
20211104,18 - 34,3,17942,2317,2317,134,814.6159812211515,4909056,65837.94190818863,230882.69966523096,1.9552180071384684,0.36864608026700824,38559.70426415243,0.0036548778420942844
20211104,35 - 54,1,20422,3189,3189,260,1288.5600144022574,5174512,115642.34263573866,341517.56468042906,1.9552180071384684,0.36864608026700824,70631.73253663123,0.003946652360647729
20211104,35 - 54,2,42995,6631,6631,548,2669.743681390674,5317627,118683.69256368252,340619.50236782955,1.9552180071384684,0.36864608026700824,69902.43359239124,0.008085373419384248
20211104,35 - 54,3,87534,13542,13541,1309,6040.741482132984,7050002,175089.9704936209,479586.70259865816,1.9552180071384684,0.36864608026700824,103152.27863532947,0.012416166690449166
20211104,55 - 74,1,33354,2975,2975,177,1025.81957417172,3673492,32076.593728683383,113123.24239132715,1.9552180071384684,0.36864608026700824,19264.979025244294,0.009079644109746259
20211104,55 - 74,2,99774,8465,8463,528,3049.660276068427,4474672,39756.398995756106,138155.54252394437,1.9552180071384684,0.36864608026700824,23922.132380294635,0.022297500241358473
20211104,55 - 74,3,240138,19728,19728,1306,7059.551625765651,6460002,59648.113588137516,189553.0126643082,1.9552180071384684,0.36864608026700824,35187.094414105195,0.03717305350679458
20211104,75 - 119,1,6306,332,332,13,97.88079337077933,1141072,3978.5301010666344,18202.918386965484,1.9552180071384684,0.36864608026700824,2372.716867262405,0.0055263822090104745
20211104,75 - 119,2,21205,1168,1168,50,357.16917916036977,1508207,5541.062012239569,24170.342250783284,1.9552180071384684,0.36864608026700824,3285.454694857041,0.01405974113632943
20211104,75 - 119,3,54888,2925,2925,110,861.9945951682823,2282346,7740.944920644746,36146.74629705859,1.9552180071384684,0.36864608026700824,4684.399468444969,0.024048939117907626
