,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
1898,2020-07-26,North West,280.0,135.75055947673815,576.2103967399378,3.8401365157615963,1.861613112678872,7.901852002435209
3872,2020-07-26,North East,131.0,44.50492386055223,380.73933336330407,4.918078623638443,1.6744336943270905,14.324769334213627
1569,2020-07-26,South West,208.0,109.7478426943479,394.9977495744647,3.722114560808417,1.959875649371763,7.053865041371863
582,2020-07-26,South East,182.0,95.71464008807833,345.10940007884915,1.9909751739251957,1.0479370467703493,3.778449411694143
3543,2020-07-26,Wales,55.0,9.202742625440255,1062.6729432810027,1.7438008958441344,0.2932088106387866,33.85784895647188
253,2020-07-26,England,1706.0,1314.695591540701,2214.2501297649424,3.0483996112088376,2.3486278489078187,3.9556301494243646
4530,2020-07-26,UK,1864.0,1436.4552067009768,2419.3213610092926,,,
4201,2020-07-26,Northern Ireland,0.0,0.0,581.4430230340972,0.0,0.0,30.900880723353268
1240,2020-07-26,East of England,214.0,108.76687109664533,422.02792003028884,3.458741147854086,1.7539609356594585,6.805569361584503
2227,2020-07-26,Scotland,103.0,18.284834105710186,1889.7817294637596,1.8919098275474344,0.3362357092681301,34.75077195093433
3214,2020-07-26,West Midlands,95.0,25.940909605321426,343.3171872634935,1.6025436190664084,0.4396200285034857,5.818188874130786
911,2020-07-26,London,321.0,174.2820602317709,589.028847674267,3.599452524658074,1.956448984150132,6.612297841412388
2885,2020-07-26,East Midlands,107.0,36.54963958656079,314.5397583285014,2.2359530954536884,0.7607932140855911,6.547252350593236
1568,2020-07-27,South West,204.0,107.45660498220352,386.78126662823644,3.644468353290891,1.918958753980385,6.907135188151518
3871,2020-07-27,North East,124.0,42.0596610034985,360.0318364870571,4.648147500953487,1.5824341993461213,13.545679573192954
3542,2020-07-27,Wales,52.0,8.562654264984525,965.5924062731393,1.6553920670768147,0.27281493953843333,30.764763563258608
581,2020-07-27,South East,138.0,66.6525913282227,283.5553059500528,1.5059759167314681,0.7297495937070188,3.104520997413982
252,2020-07-27,England,1589.0,1218.5324731695962,2072.047760980072,2.838980747813543,2.1768379841684697,3.7015938191454953
