,date,region,pop_mid,pop_low,pop_up,mil_mid,mil_low,mil_up
913,2020-08-02,North East and Yorkshire,195.0,76.05502321925904,500.892322804186,22.83484213466406,8.884737486987323,58.51417314715354
249,2020-08-02,South East,209.0,110.13916608213005,396.912768219412,23.668893697853246,12.459373366166046,44.9003251881943
1909,2020-08-02,UK,1580.0,1165.355114500691,2142.071162704093,,,
1079,2020-08-02,South West,53.0,14.527016541093904,192.57912059473813,9.455608063342197,2.5936200876859163,34.38263281593194
83,2020-08-02,England,1422.0,1048.819603050622,1927.8640464336834,25.440094538986195,18.76124979662495,34.48556724518884
1577,2020-08-02,Wales,77.0,14.423172531031472,277.043351454555,24.382813261266243,4.595370571128455,88.26885079977704
1245,2020-08-02,North West,313.0,151.98604634981788,644.5384534012397,44.83107560769515,21.736876743284927,92.18117882771698
1411,2020-08-02,Scotland,81.0,12.845026669835136,352.66056643680844,14.98435007270277,2.362043116131578,64.8499598089054
1743,2020-08-02,Northern Ireland,0.0,0.0,711.9260534897912,0.0,0.0,378.35421857741636
581,2020-08-02,East of England,171.0,78.28539982369735,371.3647549706771,26.319131012712266,12.069844833281326,57.25607813385396
1576,2020-08-03,Wales,71.0,7.909147361398353,322.10458704983665,22.523327781225372,2.5199353990317284,102.62582222944864
1244,2020-08-03,North West,355.0,180.1172098194302,697.8631502415856,50.782925286043564,25.7601647205032,99.80761816494248
82,2020-08-03,England,1436.0,1062.9308941863978,1939.6913868869901,25.68905825661897,19.013672098020866,34.69713431356629
248,2020-08-03,South East,205.0,108.00429481799421,389.2376398079812,23.21034831029697,12.217868376481155,44.03208463478411
1410,2020-08-03,Scotland,107.0,11.556669238895287,509.30150207507324,19.760088627625912,2.125129960628765,93.65430979111697
1742,2020-08-03,Northern Ireland,0.0,0.0,707.5391156612204,0.0,0.0,376.02277358261625
1908,2020-08-03,UK,1614.0,1194.6869521008678,2180.1266702197786,,,
1078,2020-08-03,South West,26.0,4.572662533819088,146.343752201793,4.624428910405745,0.8163926411437067,26.12787659077856
912,2020-08-03,North East and Yorkshire,246.0,104.97355633175872,572.8609568956483,28.690228991895907,12.262996599111926,66.92153921101362
414,2020-08-03,London,174.0,74.53346895049705,407.49097608506895,19.628020164413517,8.387174954481697,45.85454235422647
580,2020-08-03,East of England,168.0,77.1688325176178,366.08791283531895,25.943992010039274,11.897695311650914,56.4425079671699
746,2020-08-03,Midlands,396.0,201.03748587782374,779.5934807069799,37.61649163255775,19.077966398276484,73.9815172493848
1907,2020-08-04,UK,1486.0,1087.2910330144773,2029.494669275095,,,
1243,2020-08-04,North West,311.0,150.88677583652697,639.8516544682541,44.50649322448868,21.5796602867167,91.51087801278304
1409,2020-08-04,Scotland,99.0,22.615521387724012,327.29753448473343,18.192137743699107,4.158717454207171,60.18600880541612
1077,2020-08-04,South West,52.0,14.29404427291787,189.50591525035728,9.30401925814365,2.5520257552979935,33.833949809189136
911,2020-08-04,North East and Yorkshire,193.0,75.22156615255042,495.414005180337,22.584668774079702,8.787373145607365,57.87419682609039
579,2020-08-04,East of England,115.0,44.64719808011853,294.28826812672816,17.693602781386314,6.883592014365413,45.372620444476404
1741,2020-08-04,Northern Ireland,0.0,0.0,680.6094227121444,0.0,0.0,361.71094599556255
745,2020-08-04,Midlands,443.0,233.18444287621244,838.712829672151,42.019788391764195,22.12863410208381,79.59179907379519
413,2020-08-04,London,143.0,55.55839871169229,366.49327432563894,16.07162122634753,6.2519297269700775,41.24111294821855
247,2020-08-04,South East,206.0,108.24325592347257,390.0933442471023,23.261630447628853,12.244900591623647,44.12888526872159
1575,2020-08-04,Wales,45.0,9.22015195698681,164.96406069187793,14.287433653054906,2.9376348978222704,52.55924022029921
81,2020-08-04,England,1342.0,981.9277027627379,1832.827621916001,24.00104823368959,17.56468973327214,32.78555887867066
1574,2020-08-05,Wales,60.0,15.145207058068186,177.57462424602645,18.9765529292066,4.82541817055531,56.57709499652124
1906,2020-08-05,UK,1563.0,1144.0194199987563,2135.354467416571,,,
578,2020-08-05,East of England,88.0,29.894418739166827,257.6839856586168,13.548162930740723,4.609045829432668,39.729064805510795
1408,2020-08-05,Scotland,143.0,41.706623308172404,373.53823195467174,26.361294454083236,7.66933732520042,68.68910684883907
744,2020-08-05,Midlands,344.0,166.72722279758776,707.6708377596854,32.637432503644995,15.822006230934512,67.15623409668157
1740,2020-08-05,Northern Ireland,0.0,0.0,676.3296858210513,0.0,0.0,359.4364731072492
1076,2020-08-05,South West,53.0,14.591003139783897,193.43832820441028,9.497294571516333,2.605044107699634,34.53603376440849
1242,2020-08-05,North West,399.0,210.42990967642106,756.1250390366329,57.135640160052354,30.095453626111283,108.1401692509418
80,2020-08-05,England,1360.0,995.4359636585468,1858.017962691322,24.331119729003607,17.806325050010226,33.23616284752602
246,2020-08-05,South East,211.0,110.89511620218539,399.6300664810171,23.83125728463556,12.54488940126063,45.207716598469965
412,2020-08-05,London,180.0,76.96141049368823,420.72271526192156,20.2670910673552,8.660388730638065,47.34349641729363
910,2020-08-05,North East and Yorkshire,197.0,76.47200102121896,503.6081971989134,22.959853849802396,8.933448777201969,58.83144122522933
79,2020-08-06,England,1237.0,894.2250257211299,1711.957203141705,22.136048194983843,15.995867195035395,30.62343289146428
1573,2020-08-06,Wales,58.0,19.19160852339603,167.0279727133558,18.492185165380295,6.11464314326725,53.21682374046385
1241,2020-08-06,North West,353.0,179.25996697648685,694.51597236318,50.54084591091964,25.637562794447213,99.32890847594058
1739,2020-08-06,Northern Ireland,0.0,0.0,729.4175166574056,0.0,0.0,387.6500841327192
743,2020-08-06,Midlands,290.0,133.07992613883567,631.1658717645679,27.53733810432375,12.628959957770178,59.89609967855045
909,2020-08-06,North East and Yorkshire,239.0,102.32285261030644,558.4219072490672,27.9659719041827,11.95334175024035,65.23477139159411
577,2020-08-06,East of England,59.0,16.054029458242788,212.87160383575204,9.023918139802955,2.4751696350315244,32.820005179708026
411,2020-08-06,London,212.0,97.39085238944999,462.37957020600004,23.90094907857697,10.959292911737895,52.03109965633651
1407,2020-08-06,Scotland,136.0,51.52998005508351,341.5806332940197,25.00937927931164,9.47573234311313,62.81249577867633
245,2020-08-06,South East,161.0,77.97172199099586,331.5352312733416,18.200875129584652,8.820466241448495,37.504562431428994
1905,2020-08-06,UK,1431.0,1034.467269043603,1980.445236617445,,,
