date,active_cases
2020-11-21,451097.3390491287
2020-11-22,447459.1017154669
2020-11-23,442837.5223509241
2020-11-24,436304.72683084477
2020-11-25,427858.58642446937
2020-11-26,417031.7377420414
2020-11-27,405084.00711697293
2020-11-28,392291.45431176585
2020-11-29,378609.761276352
2020-11-30,364071.5865471994
2020-12-01,349329.41922284977
2020-12-02,334933.84701264487
2020-12-03,320773.7330788152
2020-12-04,306931.1481237653
2020-12-05,293838.4299143974
2020-12-06,281762.0267460622
2020-12-07,270992.8092733451
2020-12-08,261399.6928837771
2020-12-09,253057.14506078657
2020-12-10,245713.82432565335
2020-12-11,239835.84617503488
2020-12-12,235027.2073149964
2020-12-13,232361.18870354193
2020-12-14,231470.46927938817
2020-12-15,232406.13807049586
2020-12-16,234805.90490026306
2020-12-17,239716.71541148928
2020-12-18,246880.67194689653
2020-12-19,256468.00468590847
2020-12-20,267902.6722495126
2020-12-21,281375.4381636933
2020-12-22,296419.5146075599
2020-12-23,313218.0275101275
2020-12-24,331398.4267930678
2020-12-25,350039.0494499475
2020-12-26,369516.5065429422
2020-12-27,389006.15542897093
2020-12-28,409835.4876120419
2020-12-29,431972.77520726516
2020-12-30,454523.9632519257
2020-12-31,478628.95843449153
2021-01-01,503249.975219439
2021-01-02,527532.1523487116
2021-01-03,551092.4520992513
2021-01-04,573709.2506670005
2021-01-05,594573.6087264998
2021-01-06,612843.5385201635
2021-01-07,628667.695344092
2021-01-08,641088.4391461689
2021-01-09,649897.3438197882
2021-01-10,656067.8920954749
2021-01-11,658475.3747908052
2021-01-12,657455.0834466063
2021-01-13,652461.8760412592
2021-01-14,643797.0257743334
2021-01-15,631924.4261990462
2021-01-16,618254.8403452059
2021-01-17,602811.1462181791
2021-01-18,586210.5057975191
2021-01-19,567932.781791293
2021-01-20,549316.3581571529
2021-01-21,530731.2697999264
2021-01-22,512191.47860986687
2021-01-23,494173.54418897984
2021-01-24,477038.9231961562
2021-01-25,460780.8066877085
2021-01-26,445724.3109038207
2021-01-27,431000.16398687084
2021-01-28,416498.6446362821
2021-01-29,402328.9538331329
