date,region,active_cases
2021-07-27,North East,47121.002540866626
2021-07-27,North West,103359.18307838541
2021-07-27,Northern Ireland,25754.17039592734
2021-07-27,Scotland,45698.56504945104
2021-07-27,South East,94480.23938088195
2021-07-27,South West,58469.30794891801
2021-07-27,Wales,21296.357697616055
2021-07-27,West Midlands,68837.27424149297
2021-07-27,Yorkshire and The Humber,88580.02003858473
2021-07-28,East Midlands,59789.34594376063
2021-07-28,East of England,69668.61608320146
2021-07-28,London,156279.1681200411
2021-07-28,North East,46600.862566465396
2021-07-28,North West,104012.42825955502
2021-07-28,Northern Ireland,26445.307023158824
2021-07-28,Scotland,44091.58175656718
2021-07-28,South East,95979.04446670056
2021-07-28,South West,59795.45669478835
2021-07-28,Wales,21296.89179129985
2021-07-28,West Midlands,68024.97115910784
2021-07-28,Yorkshire and The Humber,89937.67666597402
2021-07-29,East Midlands,62163.4840734851
2021-07-29,East of England,69790.26354107478
2021-07-29,London,157209.8539378042
2021-07-29,North East,44628.07984337995
2021-07-29,North West,104208.69416497751
2021-07-29,Northern Ireland,27200.959477897097
2021-07-29,Scotland,42313.46253595255
2021-07-29,South East,96748.01291262904
2021-07-29,South West,60890.93071474493
2021-07-29,Wales,21304.34181582015
2021-07-29,West Midlands,67338.27008932187
2021-07-29,Yorkshire and The Humber,91894.56255402984
2021-07-30,East Midlands,66296.52246224778
2021-07-30,East of England,69604.32781895554
2021-07-30,London,157274.92472277398
2021-07-30,North East,42931.083263509456
2021-07-30,North West,103956.23539956422
2021-07-30,Northern Ireland,27851.90357344381
2021-07-30,Scotland,40580.80476477826
2021-07-30,South East,96727.44628957333
2021-07-30,South West,61801.66296849287
2021-07-30,Wales,21222.069269805077
2021-07-30,West Midlands,63951.944905577
2021-07-30,Yorkshire and The Humber,92864.0236216562
2021-07-31,East Midlands,64314.333995980516
2021-07-31,East of England,68885.49323943777
2021-07-31,London,156140.69924475826
2021-07-31,North East,38777.0907083676
2021-07-31,North West,103064.97811284695
2021-07-31,Northern Ireland,28520.89578311829
2021-07-31,Scotland,38871.59170824868
2021-07-31,South East,96007.25977439598
2021-07-31,South West,62267.33295886819
2021-07-31,Wales,21256.20923607698
2021-07-31,West Midlands,65951.98108784341
2021-07-31,Yorkshire and The Humber,95848.39257026816
2021-08-01,East Midlands,62722.68025135404
2021-08-01,East of England,67885.88367602704
2021-08-01,London,153735.64730705257
2021-08-01,North East,34067.92218244337
2021-08-01,North West,101772.30743808408
2021-08-01,Northern Ireland,28777.775799145784
2021-08-01,Scotland,37196.302811540336
2021-08-01,South East,94681.41876666843
2021-08-01,South West,62201.71875817766
2021-08-01,Wales,21182.054950567486
2021-08-01,West Midlands,67269.9560491735
2021-08-01,Yorkshire and The Humber,98851.97509801327
2021-08-02,East Midlands,62507.61758902935
2021-08-02,East of England,66855.93200428736
2021-08-02,London,150831.2270067325
2021-08-02,North East,35382.80478030535
2021-08-02,North West,100222.54529861674
2021-08-02,Northern Ireland,28902.832205504223
2021-08-02,Scotland,35654.701202573626
2021-08-02,South East,93038.81853679576
2021-08-02,South West,61837.626691586476
2021-08-02,Wales,21028.859069770042
2021-08-02,West Midlands,66656.26504427304
2021-08-02,Yorkshire and The Humber,95062.56522342634
2021-08-03,East Midlands,59232.573912381136
2021-08-03,East of England,65810.90681883843
2021-08-03,London,147605.40357821286
2021-08-03,North East,34825.95459060657
2021-08-03,North West,98400.59385228573
2021-08-03,Northern Ireland,28680.085718049453
2021-08-03,Scotland,34049.11427954742
2021-08-03,South East,91243.89448974698
2021-08-03,South West,61172.376755547404
2021-08-03,Wales,20859.87327652214
2021-08-03,West Midlands,68533.2730270156
2021-08-03,Yorkshire and The Humber,92789.8972931149
2021-08-04,East Midlands,65121.80927408738
2021-08-04,East of England,64723.621157013884
2021-08-04,London,143776.7214505701
2021-08-04,North East,36023.81493620086
2021-08-04,North West,96494.02505737187
2021-08-04,Northern Ireland,28121.704371675292
2021-08-04,Scotland,32642.591006960418
2021-08-04,South East,89336.03689829134
2021-08-04,South West,60537.23817442489
2021-08-04,Wales,20722.212756862813
2021-08-04,West Midlands,60783.75807350157
2021-08-04,Yorkshire and The Humber,88851.49201379517
2021-08-05,East Midlands,56698.89529492832
2021-08-05,East of England,63725.542108011614
2021-08-05,London,139849.76439444892
2021-08-05,North East,33565.05374491816
2021-08-05,North West,94432.16199710616
2021-08-05,Northern Ireland,27825.48139395275
2021-08-05,Scotland,31169.76437436827
2021-08-05,South East,87460.5368819551
2021-08-05,South West,59906.038696838914
2021-08-05,Wales,20655.978093810452
2021-08-05,West Midlands,66621.05320260668
2021-08-05,Yorkshire and The Humber,88301.65422548118
2021-08-06,East Midlands,56783.55186487557
2021-08-06,East of England,62928.50318584444
2021-08-06,London,135967.96198682926
2021-08-06,North East,38319.967670940365
2021-08-06,North West,92282.99521240102
2021-08-06,Northern Ireland,27501.045559204962
2021-08-06,Scotland,29870.12881024153
2021-08-06,South East,85576.217040814
2021-08-06,South West,59214.20559108352
2021-08-06,Wales,20656.10041922705
2021-08-06,West Midlands,63980.63212212648
2021-08-06,Yorkshire and The Humber,80797.32919709278
2021-08-07,East Midlands,56934.56058696135
2021-08-07,East of England,62258.62642008987
2021-08-07,London,132557.6608895222
2021-08-07,North East,37641.770964974145
2021-08-07,North West,90085.38237468508
2021-08-07,Northern Ireland,27137.649774137244
2021-08-07,Scotland,28862.90629051685
2021-08-07,South East,83812.01486731005
2021-08-07,South West,58455.6473965177
2021-08-07,Wales,20640.53093349328
2021-08-07,West Midlands,61268.90259084189
2021-08-07,Yorkshire and The Humber,79040.8664372965
2021-08-08,East Midlands,48501.39993527639
2021-08-08,East of England,61671.85514486523
2021-08-08,London,129630.47985995999
2021-08-08,North East,35378.719161588895
2021-08-08,North West,87816.9236109454
2021-08-08,Northern Ireland,26607.307057493294
2021-08-08,Scotland,27921.77169588052
2021-08-08,South East,82375.95411805747
2021-08-08,South West,57752.3516430329
2021-08-08,Wales,20601.263448814032
2021-08-08,West Midlands,67148.26290170591
2021-08-08,Yorkshire and The Humber,79217.15046323514
2021-08-09,East Midlands,46152.6693624096
2021-08-09,East of England,61128.2724595245
2021-08-09,London,127073.72620782394
2021-08-09,North East,34550.03546011454
2021-08-09,North West,86047.37210487772
2021-08-09,Northern Ireland,26235.578160376885
2021-08-09,Scotland,26996.280728439408
2021-08-09,South East,81210.2537817205
2021-08-09,South West,57089.00099355082
2021-08-09,Wales,20640.20969580598
2021-08-09,West Midlands,67249.04629160752
2021-08-09,Yorkshire and The Humber,78341.16151635293
2021-08-10,East Midlands,48685.244016552744
2021-08-10,East of England,60852.19247686834
2021-08-10,London,125000.85200099456
2021-08-10,North East,34155.471921243574
2021-08-10,North West,84428.65158809294
2021-08-10,Northern Ireland,25864.667177182102
2021-08-10,Scotland,26194.904717903344
2021-08-10,South East,80550.23158945756
2021-08-10,South West,56426.94653628077
2021-08-10,Wales,20832.34008238369
2021-08-10,West Midlands,62495.787119531866
2021-08-10,Yorkshire and The Humber,77269.52972819895
2021-08-11,East Midlands,40708.85874349758
2021-08-11,East of England,60814.36427669655
2021-08-11,London,123201.19039776034
2021-08-11,North East,33148.99817611363
2021-08-11,North West,83137.16790426352
2021-08-11,Northern Ireland,25324.335754811862
2021-08-11,Scotland,25629.274914757425
2021-08-11,South East,80215.69018188732
2021-08-11,South West,55867.94043704913
2021-08-11,Wales,21071.101532933484
2021-08-11,West Midlands,68537.86898118084
2021-08-11,Yorkshire and The Humber,77170.71150216088
2021-08-12,East Midlands,40980.96305873068
2021-08-12,East of England,60809.06444259756
2021-08-12,London,121728.64000230042
2021-08-12,North East,35101.65967167092
2021-08-12,North West,82087.27088317656
2021-08-12,Northern Ireland,24820.919007100914
2021-08-12,Scotland,25360.539335205645
2021-08-12,South East,80401.90611896374
2021-08-12,South West,55343.78935935926
2021-08-12,Wales,21328.7393099545
2021-08-12,West Midlands,66214.21336242346
2021-08-12,Yorkshire and The Humber,74609.66874818034
2021-08-13,East Midlands,39510.41148130631
2021-08-13,East of England,60654.279603800096
2021-08-13,London,120528.59779553126
2021-08-13,North East,32127.993986886337
2021-08-13,North West,81098.45737228391
2021-08-13,Northern Ireland,24535.66889373081
2021-08-13,Scotland,25315.697465467074
2021-08-13,South East,81021.87289888361
2021-08-13,South West,54941.05505038454
2021-08-13,Wales,21530.463210817976
2021-08-13,West Midlands,66166.34773548722
2021-08-13,Yorkshire and The Humber,77016.7704364846
2021-08-14,East Midlands,41724.83161129585
2021-08-14,East of England,60623.086878258306
2021-08-14,London,119515.38923254466
2021-08-14,North East,35756.125542845424
2021-08-14,North West,80446.97327014875
2021-08-14,Northern Ireland,24062.395836717733
2021-08-14,Scotland,25515.740981495688
2021-08-14,South East,82072.47594116406
2021-08-14,South West,54811.7947672413
2021-08-14,Wales,21784.186428471432
2021-08-14,West Midlands,62858.75743487928
2021-08-14,Yorkshire and The Humber,72891.09974425903
2021-08-15,East Midlands,41514.00852606853
2021-08-15,East of England,60726.82983283496
2021-08-15,London,118694.24978477084
2021-08-15,North East,32477.134792391087
2021-08-15,North West,80051.6790955621
2021-08-15,Northern Ireland,23462.9334104418
2021-08-15,Scotland,25980.603277652914
2021-08-15,South East,83248.13981376251
2021-08-15,South West,54754.909000375905
2021-08-15,Wales,22090.69441715393
2021-08-15,West Midlands,62388.96838744254
2021-08-15,Yorkshire and The Humber,75971.4455082592
2021-08-16,East Midlands,49256.058844723266
2021-08-16,East of England,60990.026984992044
2021-08-16,London,118079.72956742134
2021-08-16,North East,35591.4757029526
2021-08-16,North West,79604.07027924225
2021-08-16,Northern Ireland,23299.862366357956
2021-08-16,Scotland,26660.518804538115
2021-08-16,South East,84500.60175115746
2021-08-16,South West,55031.50612597286
2021-08-16,Wales,22466.18464996366
2021-08-16,West Midlands,54266.44583867177
2021-08-16,Yorkshire and The Humber,72625.8745808546
2021-08-17,East Midlands,47991.708931482295
2021-08-17,East of England,61201.55126122861
2021-08-17,London,117619.52049003192
2021-08-17,North East,36658.642822486276
2021-08-17,North West,79368.81220665043
2021-08-17,Northern Ireland,23049.361663780128
2021-08-17,Scotland,27514.361076382454
2021-08-17,South East,85820.55649961747
2021-08-17,South West,55222.90738407866
2021-08-17,Wales,22849.365630477936
2021-08-17,West Midlands,55398.723708421116
2021-08-17,Yorkshire and The Humber,71538.9537534126
2021-08-18,East Midlands,46483.38723408751
2021-08-18,East of England,61492.92684603272
2021-08-18,London,117331.39181821133
2021-08-18,North East,35480.39773126385
2021-08-18,North West,79378.29849584775
2021-08-18,Northern Ireland,22802.45212833875
2021-08-18,Scotland,28441.032867603142
2021-08-18,South East,87397.49232619707
2021-08-18,South West,55706.580208620835
2021-08-18,Wales,23220.687347885047
2021-08-18,West Midlands,56997.25259041579
2021-08-18,Yorkshire and The Humber,72653.9605432145
2021-08-19,East Midlands,44436.404152495335
2021-08-19,East of England,61888.29194125354
2021-08-19,London,116871.27832183847
2021-08-19,North East,34099.58083495753
2021-08-19,North West,79500.52768391663
2021-08-19,Northern Ireland,22832.552368127686
2021-08-19,Scotland,29304.110069409708
2021-08-19,South East,89048.21382915515
2021-08-19,South West,56455.562341874975
2021-08-19,Wales,23556.00780120569
2021-08-19,West Midlands,59369.13570654664
2021-08-19,Yorkshire and The Humber,73877.2191382237
2021-08-20,East Midlands,47665.1064269702
2021-08-20,East of England,62145.533007429345
2021-08-20,London,115764.35566105352
2021-08-20,North East,32222.773591692523
2021-08-20,North West,79565.81048169543
2021-08-20,Northern Ireland,23294.218653050615
2021-08-20,Scotland,30435.275966066918
2021-08-20,South East,90365.25835160303
2021-08-20,South West,57326.90798786354
2021-08-20,Wales,23906.63919526031
2021-08-20,West Midlands,56282.2767651725
2021-08-20,Yorkshire and The Humber,75699.81899743271
2021-08-21,East Midlands,46877.64273800077
2021-08-21,East of England,62402.78294860437
2021-08-21,London,114756.09188388402
2021-08-21,North East,29691.652474744355
2021-08-21,North West,80203.61270574974
2021-08-21,Northern Ireland,23481.925235860068
2021-08-21,Scotland,31761.11064331165
2021-08-21,South East,91598.17648167713
2021-08-21,South West,58229.683784716406
2021-08-21,Wales,24158.218458336833
2021-08-21,West Midlands,57520.175962162786
2021-08-21,Yorkshire and The Humber,78035.27915279727
2021-08-22,East Midlands,44477.04391446634
2021-08-22,East of England,62627.09743922147
2021-08-22,London,113601.60441969588
2021-08-22,North East,32057.1787311022
2021-08-22,North West,81077.98770721296
2021-08-22,Northern Ireland,23824.206779705288
2021-08-22,Scotland,33192.27898803049
2021-08-22,South East,92554.93438852446
2021-08-22,South West,59091.21812591277
2021-08-22,Wales,24557.34980502708
2021-08-22,West Midlands,60386.404437909616
2021-08-22,Yorkshire and The Humber,75332.43686422483
2021-08-23,East Midlands,43976.61497286268
2021-08-23,East of England,62554.08796493868
2021-08-23,London,112305.57178961365
2021-08-23,North East,30878.39569618599
2021-08-23,North West,82031.69997345089
2021-08-23,Northern Ireland,24480.09851263342
2021-08-23,Scotland,34756.26301757607
2021-08-23,South East,93346.51136246184
2021-08-23,South West,59941.24774807373
2021-08-23,Wales,24882.096325453986
2021-08-23,West Midlands,61435.649733333325
2021-08-23,Yorkshire and The Humber,76188.58829765083
2021-08-24,East Midlands,43258.52245400235
2021-08-24,East of England,62332.388712510634
2021-08-24,London,111087.22327802601
2021-08-24,North East,33025.79651752968
2021-08-24,North West,83038.32335692462
2021-08-24,Northern Ireland,25285.220703338764
2021-08-24,Scotland,36358.55155815293
2021-08-24,South East,93923.46894092762
2021-08-24,South West,60882.0979969598
2021-08-24,Wales,25337.775585442632
2021-08-24,West Midlands,63074.58206665662
2021-08-24,Yorkshire and The Humber,73498.99493191509
2021-08-25,East Midlands,44636.87045293058
2021-08-25,East of England,62095.40038762459
2021-08-25,London,109562.5645722957
2021-08-25,North East,31810.701547475706
2021-08-25,North West,84066.87212590301
2021-08-25,Northern Ireland,26428.73818109492
2021-08-25,Scotland,38006.03377848799
2021-08-25,South East,94384.45625289022
2021-08-25,South West,61747.29095046843
2021-08-25,Wales,25867.812026655392
2021-08-25,West Midlands,62563.0686168863
2021-08-25,Yorkshire and The Humber,74125.39108702535
2021-08-26,East Midlands,48402.78669551338
2021-08-26,East of England,61931.260080131346
2021-08-26,London,107907.19300299877
2021-08-26,North East,30142.38561541976
2021-08-26,North West,85025.70877234635
2021-08-26,Northern Ireland,27692.452220492487
2021-08-26,Scotland,39819.69846538113
2021-08-26,South East,94730.86855859458
2021-08-26,South West,62560.53377908962
2021-08-26,Wales,26455.556234114323
2021-08-26,West Midlands,59653.83685369464
2021-08-26,Yorkshire and The Humber,75133.86227968478
2021-08-27,East Midlands,54820.19590502357
2021-08-27,East of England,61819.45396264927
2021-08-27,London,106060.92560572478
2021-08-27,North East,29188.344205740108
2021-08-27,North West,85870.20574024314
2021-08-27,Northern Ireland,28771.66706118111
2021-08-27,Scotland,41683.39963125093
2021-08-27,South East,94744.72175217398
2021-08-27,South West,63279.3477249145
2021-08-27,Wales,27353.048986656355
2021-08-27,West Midlands,54110.01747322542
2021-08-27,Yorkshire and The Humber,75430.08390211874
2021-08-28,East Midlands,56316.21770903167
2021-08-28,East of England,61648.21555111348
2021-08-28,London,104337.11448626089
2021-08-28,North East,25119.033156683556
2021-08-28,North West,86579.13982782412
2021-08-28,Northern Ireland,29842.038163498575
2021-08-28,Scotland,43826.37061644379
2021-08-28,South East,94635.42751507665
2021-08-28,South West,63935.70241027692
2021-08-28,Wales,28214.32669739296
2021-08-28,West Midlands,53867.74192639549
2021-08-28,Yorkshire and The Humber,78955.8933279397
2021-08-29,East Midlands,56981.88190273438
2021-08-29,East of England,61449.03785095155
2021-08-29,London,102608.29085090704
2021-08-29,North East,24773.06676389751
2021-08-29,North West,87289.63167687574
2021-08-29,Northern Ireland,30791.589875491558
2021-08-29,Scotland,45833.95692335279
2021-08-29,South East,94519.03555579677
2021-08-29,South West,64551.05440377364
2021-08-29,Wales,29038.661885264533
2021-08-29,West Midlands,54474.33362599732
2021-08-29,Yorkshire and The Humber,78841.9087218614
2021-08-30,East Midlands,56228.51696674757
2021-08-30,East of England,61162.26856796783
2021-08-30,London,100781.47029214943
2021-08-30,North East,26018.35291598138
2021-08-30,North West,87843.00996630701
