date,region,active_cases
2021-11-12,Yorkshire and The Humber,95393.75477344889
2021-11-13,East Midlands,75391.79422936428
2021-11-13,East of England,100463.18369409659
2021-11-13,London,105918.2503917579
2021-11-13,North East,54520.54846993974
2021-11-13,North West,119274.478970786
2021-11-13,Northern Ireland,34525.67260168801
2021-11-13,Scotland,62866.134560128114
2021-11-13,South East,141478.84830545555
2021-11-13,South West,96139.93692108469
2021-11-13,Wales,60016.198406778974
2021-11-13,West Midlands,89481.25561773771
2021-11-13,Yorkshire and The Humber,92795.58496974422
2021-11-14,East Midlands,74387.08668550802
2021-11-14,East of England,99312.4211725141
2021-11-14,London,104323.58767867014
2021-11-14,North East,53728.18723694539
2021-11-14,North West,117291.41424978925
2021-11-14,Northern Ireland,34379.606267397605
2021-11-14,Scotland,62901.48721143409
2021-11-14,South East,139223.277963897
2021-11-14,South West,93621.91872499141
2021-11-14,Wales,59344.205869790814
2021-11-14,West Midlands,87922.4935940985
2021-11-14,Yorkshire and The Humber,90244.81286564103
2021-11-15,East Midlands,73593.12752947438
2021-11-15,East of England,98294.05832832806
2021-11-15,London,103129.73366548691
2021-11-15,North East,52879.11974248965
2021-11-15,North West,115278.79601878283
2021-11-15,Northern Ireland,34337.01323995881
2021-11-15,Scotland,63086.2315328949
2021-11-15,South East,137698.54198733397
2021-11-15,South West,91631.54276407718
2021-11-15,Wales,59045.50006000824
2021-11-15,West Midlands,86549.2287920556
2021-11-15,Yorkshire and The Humber,87995.5857326564
2021-11-16,East Midlands,73233.64837811895
2021-11-16,East of England,97509.07903295512
2021-11-16,London,102456.44992774104
2021-11-16,North East,52057.054193783726
2021-11-16,North West,113254.73727354997
2021-11-16,Northern Ireland,34180.946947221346
2021-11-16,Scotland,63304.81168345155
2021-11-16,South East,136762.1466161032
2021-11-16,South West,89902.03455654604
2021-11-16,Wales,58921.11702931426
2021-11-16,West Midlands,85768.63114992603
2021-11-16,Yorkshire and The Humber,86504.89528645422
2021-11-17,East Midlands,73252.50625377239
2021-11-17,East of England,96898.88733155731
2021-11-17,London,102336.5262957341
2021-11-17,North East,51143.75655364238
2021-11-17,North West,111901.13445015119
2021-11-17,Northern Ireland,33978.09809228021
2021-11-17,Scotland,63832.95082168981
2021-11-17,South East,136440.11908842422
2021-11-17,South West,88485.03442819304
2021-11-17,Wales,58887.10006343088
2021-11-17,West Midlands,85236.0917450039
2021-11-17,Yorkshire and The Humber,85235.91360553271
2021-11-18,East Midlands,73760.58430407413
2021-11-18,East of England,96498.44803588752
2021-11-18,London,102995.04210072468
2021-11-18,North East,50286.619304053034
2021-11-18,North West,110690.97345896908
2021-11-18,Northern Ireland,33978.02370294573
2021-11-18,Scotland,64268.28523219711
2021-11-18,South East,136526.07885295115
2021-11-18,South West,87263.89342355561
2021-11-18,Wales,59163.54609420343
2021-11-18,West Midlands,85084.03519459201
2021-11-18,Yorkshire and The Humber,84485.40330468222
2021-11-19,East Midlands,74460.25788912084
2021-11-19,East of England,96709.03095460216
2021-11-19,London,103954.1111119791
2021-11-19,North East,49460.90815000615
2021-11-19,North West,109677.79010838109
2021-11-19,Northern Ireland,33923.5865791845
2021-11-19,Scotland,64517.84634749046
2021-11-19,South East,137334.670823204
2021-11-19,South West,86639.10603552753
2021-11-19,Wales,59454.59129615615
2021-11-19,West Midlands,85722.98353178942
2021-11-19,Yorkshire and The Humber,84171.54214510987
2021-11-20,East Midlands,75482.90965623982
2021-11-20,East of England,97188.57627960292
2021-11-20,London,105451.10297159757
2021-11-20,North East,48411.22633231196
2021-11-20,North West,109150.31682601348
2021-11-20,Northern Ireland,34253.10323517618
2021-11-20,Scotland,64913.38129988675
2021-11-20,South East,138560.37477125047
2021-11-20,South West,86212.22587507009
2021-11-20,Wales,59883.49584114358
2021-11-20,West Midlands,86769.42525869566
2021-11-20,Yorkshire and The Humber,84260.15761473886
2021-11-21,East Midlands,76602.50309317576
2021-11-21,East of England,98070.17528287155
2021-11-21,London,107047.71205579107
2021-11-21,North East,47328.64765286939
2021-11-21,North West,108760.01320261032
2021-11-21,Northern Ireland,34580.44957266299
2021-11-21,Scotland,65427.27393491535
2021-11-21,South East,140018.2103876333
2021-11-21,South West,86215.87814402404
2021-11-21,Wales,60309.55219610025
2021-11-21,West Midlands,88035.69498088815
2021-11-21,Yorkshire and The Humber,84540.18825135223
2021-11-22,East Midlands,77792.01230170687
2021-11-22,East of England,99165.44518194773
2021-11-22,London,109185.85488429354
2021-11-22,North East,46471.675981707136
2021-11-22,North West,108317.57298091808
2021-11-22,Northern Ireland,35127.69901062241
2021-11-22,Scotland,65976.31131701247
2021-11-22,South East,142180.18999096807
2021-11-22,South West,86444.24016492491
2021-11-22,Wales,60819.23689504053
2021-11-22,West Midlands,89609.89008048624
2021-11-22,Yorkshire and The Humber,85083.32175952234
2021-11-23,East Midlands,79130.98146747767
2021-11-23,East of England,100332.35933716653
2021-11-23,London,111521.10507125077
2021-11-23,North East,45737.720966477966
2021-11-23,North West,107841.55162343655
2021-11-23,Northern Ireland,35708.168476786224
2021-11-23,Scotland,66328.91455614135
2021-11-23,South East,144486.10264978316
2021-11-23,South West,86804.4150914596
2021-11-23,Wales,61358.17360002616
2021-11-23,West Midlands,91024.10336939768
2021-11-23,Yorkshire and The Humber,86014.18277228068
2021-11-24,East Midlands,80251.26706300923
2021-11-24,East of England,101749.52269463515
2021-11-24,London,113831.42751251892
